               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093517,            0.030346,            0.040989,           0.0030745,             0.91118,            0.016587,           0.0042699,            0.052413,            0.016037,            0.030818,              0.0748,              0.0028,              0.0028
                   1,             0.06515,            0.027455,            0.036879,             0.21498,              0.3203,             0.20849,            0.072046,            0.043599,            0.013495,            0.026867,            0.048681,           0.0056812,           0.0056812
                   2,            0.060545,            0.023335,            0.033398,             0.25091,             0.34936,             0.23555,             0.07836,            0.042415,            0.010818,            0.027748,            0.022543,           0.0085432,           0.0085432
                   3,            0.054987,            0.021925,            0.032982,             0.23382,             0.36831,             0.27053,             0.12932,            0.039425,            0.009178,             0.02713,            0.009901,            0.009901,            0.009901
                   4,            0.051583,            0.020288,            0.031747,             0.21994,             0.48446,             0.38822,             0.15167,            0.041497,           0.0082956,            0.025033,            0.009901,            0.009901,            0.009901
                   5,            0.047781,            0.017749,            0.030445,             0.36185,             0.48003,             0.44083,             0.19785,            0.035657,           0.0081051,            0.019698,            0.009868,            0.009868,            0.009868
                   6,            0.049552,            0.017576,            0.027775,             0.34691,             0.54482,             0.45144,             0.17481,            0.038399,           0.0082193,            0.016972,            0.009835,            0.009835,            0.009835
                   7,            0.043555,            0.016469,            0.023639,             0.46644,             0.69196,             0.65612,             0.33067,            0.031402,           0.0077824,            0.011995,            0.009802,            0.009802,            0.009802
                   8,            0.044252,             0.01572,            0.018878,             0.49042,             0.70561,             0.61483,             0.33013,            0.038024,           0.0077878,            0.012227,            0.009769,            0.009769,            0.009769
                   9,            0.041025,            0.015502,            0.020125,             0.61792,              0.6356,             0.67195,             0.33877,            0.029716,           0.0089569,           0.0097776,            0.009736,            0.009736,            0.009736
                  10,            0.042482,            0.015837,            0.017642,             0.60639,             0.62829,             0.61318,             0.31629,            0.032846,           0.0099836,            0.012599,            0.009703,            0.009703,            0.009703
                  11,            0.041557,            0.016011,             0.01817,             0.64015,              0.6786,             0.72549,               0.359,            0.033419,           0.0078423,           0.0092513,             0.00967,             0.00967,             0.00967
                  12,            0.039566,            0.015306,             0.01656,             0.69299,             0.85813,             0.79256,             0.48484,            0.027333,           0.0067984,           0.0045008,            0.009637,            0.009637,            0.009637
                  13,            0.036034,            0.015015,             0.01482,             0.77402,             0.78907,             0.82183,             0.49026,            0.029718,           0.0070954,           0.0044114,            0.009604,            0.009604,            0.009604
                  14,            0.038311,            0.014713,            0.015862,             0.72961,             0.58744,              0.6374,             0.34309,            0.030228,           0.0090904,            0.013451,            0.009571,            0.009571,            0.009571
                  15,             0.03763,            0.014336,            0.013796,             0.80832,             0.76007,             0.82925,             0.52591,            0.026273,           0.0074174,            0.006045,            0.009538,            0.009538,            0.009538
                  16,            0.036526,            0.014616,             0.01321,             0.83062,              0.7911,             0.86497,             0.56512,              0.0223,           0.0065155,           0.0059138,            0.009505,            0.009505,            0.009505
                  17,            0.036673,            0.014473,            0.014192,             0.80942,             0.80212,             0.85753,             0.53401,            0.023633,            0.006825,           0.0040221,            0.009472,            0.009472,            0.009472
                  18,            0.036903,            0.014702,            0.013946,             0.80609,             0.82323,             0.85651,             0.54173,            0.026358,           0.0068072,           0.0039694,            0.009439,            0.009439,            0.009439
                  19,            0.035341,            0.014341,            0.015205,             0.72412,             0.69463,             0.73089,             0.42681,            0.029177,           0.0084584,           0.0070216,            0.009406,            0.009406,            0.009406
                  20,            0.037088,            0.014359,            0.013302,             0.88946,             0.84612,             0.90364,             0.56339,            0.025489,           0.0065696,           0.0042122,            0.009373,            0.009373,            0.009373
                  21,            0.036566,             0.01415,            0.013961,             0.85037,             0.82651,              0.8653,             0.56426,            0.023038,           0.0073186,           0.0071182,             0.00934,             0.00934,             0.00934
                  22,            0.034665,            0.014942,            0.013242,              0.8473,             0.78565,             0.85486,             0.53682,            0.023904,           0.0074338,           0.0060421,            0.009307,            0.009307,            0.009307
                  23,            0.035344,            0.014756,            0.014558,             0.77979,              0.7523,             0.77011,              0.4786,            0.024845,           0.0082812,           0.0080338,            0.009274,            0.009274,            0.009274
                  24,             0.03342,            0.014386,            0.012052,             0.85386,             0.82466,             0.87997,             0.57201,            0.022696,           0.0065234,           0.0048152,            0.009241,            0.009241,            0.009241
                  25,            0.035517,            0.014592,             0.01326,             0.87098,             0.86398,             0.89073,             0.58105,            0.020893,           0.0065296,           0.0038427,            0.009208,            0.009208,            0.009208
                  26,            0.034152,            0.013642,            0.011378,             0.86452,             0.89902,             0.89828,             0.59141,            0.024074,           0.0062243,           0.0033242,            0.009175,            0.009175,            0.009175
                  27,            0.033624,            0.013379,            0.012431,              0.8084,             0.73017,             0.80839,             0.50433,            0.025422,           0.0081153,           0.0049693,            0.009142,            0.009142,            0.009142
                  28,            0.033038,            0.013654,            0.013307,             0.91044,             0.89357,              0.9208,             0.59076,            0.022712,           0.0062115,           0.0041757,            0.009109,            0.009109,            0.009109
                  29,            0.034148,            0.013795,            0.011733,              0.9339,             0.90511,             0.93852,             0.61496,             0.02389,           0.0063205,           0.0035456,            0.009076,            0.009076,            0.009076
                  30,            0.032306,            0.013862,            0.011712,             0.90413,             0.89582,             0.92364,              0.6276,            0.021568,           0.0063938,           0.0035153,            0.009043,            0.009043,            0.009043
                  31,            0.033782,             0.01447,            0.012203,             0.89341,             0.91051,             0.91595,             0.60981,            0.020272,           0.0061236,           0.0034224,             0.00901,             0.00901,             0.00901
                  32,            0.034199,            0.013334,             0.01265,             0.86396,             0.83622,             0.88565,             0.58282,            0.022616,           0.0070189,           0.0033623,            0.008977,            0.008977,            0.008977
                  33,            0.031884,            0.013433,            0.010096,             0.87774,             0.85426,             0.89856,             0.60025,            0.022484,           0.0068765,           0.0036439,            0.008944,            0.008944,            0.008944
                  34,            0.033677,            0.013037,            0.010262,             0.90335,             0.90184,             0.93034,             0.62046,            0.021482,            0.006137,           0.0031976,            0.008911,            0.008911,            0.008911
                  35,            0.032625,            0.013368,            0.011712,             0.84939,             0.89964,             0.90931,             0.59789,            0.021693,           0.0062919,           0.0038977,            0.008878,            0.008878,            0.008878
                  36,            0.031368,            0.013793,            0.010692,             0.89579,             0.89008,             0.91415,             0.57499,            0.022881,           0.0063621,           0.0026985,            0.008845,            0.008845,            0.008845
                  37,            0.031684,            0.013676,            0.010492,             0.86743,             0.87605,             0.90053,             0.59596,            0.020765,           0.0065784,           0.0021508,            0.008812,            0.008812,            0.008812
                  38,            0.031406,            0.013754,            0.010738,             0.89515,             0.95063,             0.94947,             0.68588,            0.018098,           0.0056474,            0.001843,            0.008779,            0.008779,            0.008779
                  39,            0.031768,             0.01366,            0.011686,             0.87454,             0.89435,             0.91894,             0.62091,            0.019677,           0.0066385,           0.0027227,            0.008746,            0.008746,            0.008746
                  40,             0.03071,            0.013261,            0.008554,             0.91726,              0.9343,             0.94042,             0.65835,            0.019653,           0.0058468,            0.002365,            0.008713,            0.008713,            0.008713
                  41,            0.029656,            0.013601,            0.010357,             0.94968,             0.96898,             0.96065,             0.69154,            0.017944,            0.005233,           0.0014191,             0.00868,             0.00868,             0.00868
                  42,            0.028655,            0.012971,           0.0070831,             0.93808,             0.97251,             0.95965,             0.68638,            0.018754,           0.0053763,           0.0019678,            0.008647,            0.008647,            0.008647
                  43,             0.02961,            0.012096,           0.0080714,             0.93364,             0.96055,             0.96053,             0.69546,            0.017938,           0.0053684,           0.0015592,            0.008614,            0.008614,            0.008614
                  44,             0.02944,            0.013003,            0.011552,             0.93451,             0.96015,             0.94893,             0.68628,            0.017603,           0.0053254,           0.0020166,            0.008581,            0.008581,            0.008581
                  45,            0.027895,            0.012969,           0.0094226,             0.93951,             0.94222,             0.94696,             0.68885,            0.016576,           0.0055098,           0.0022815,            0.008548,            0.008548,            0.008548
                  46,            0.028612,            0.013108,            0.010027,               0.843,              0.8402,             0.88183,             0.60823,            0.020425,           0.0064865,           0.0040273,            0.008515,            0.008515,            0.008515
                  47,            0.029694,            0.012584,            0.010837,             0.93145,             0.92864,             0.95067,             0.69422,            0.016745,           0.0052957,           0.0015367,            0.008482,            0.008482,            0.008482
                  48,            0.028925,            0.012135,           0.0083037,             0.94419,             0.95406,              0.9655,             0.69619,            0.018579,           0.0051353,           0.0013697,            0.008449,            0.008449,            0.008449
                  49,             0.02821,            0.012082,           0.0093469,             0.94683,             0.96429,             0.96639,              0.7063,            0.017643,            0.005098,           0.0010316,            0.008416,            0.008416,            0.008416
                  50,            0.029537,            0.012726,           0.0096429,             0.92525,              0.9435,             0.95476,             0.70113,            0.017637,           0.0053124,            0.001522,            0.008383,            0.008383,            0.008383
                  51,            0.030347,            0.012192,           0.0093346,             0.93365,             0.93665,             0.95651,             0.69616,            0.018923,           0.0052568,           0.0011363,             0.00835,             0.00835,             0.00835
                  52,             0.03058,            0.012362,            0.011301,             0.90213,             0.83438,             0.90878,             0.61397,            0.019182,           0.0063266,           0.0048936,            0.008317,            0.008317,            0.008317
                  53,            0.029441,            0.012885,           0.0090158,             0.82388,             0.82661,             0.89351,             0.61614,            0.019664,           0.0062621,            0.006061,            0.008284,            0.008284,            0.008284
                  54,            0.026161,            0.013026,           0.0080966,              0.8893,             0.92063,             0.94136,             0.67832,            0.017805,           0.0055354,           0.0032071,            0.008251,            0.008251,            0.008251
                  55,            0.027871,            0.012297,           0.0079068,             0.91675,              0.9539,             0.97053,             0.71194,            0.018688,            0.005336,           0.0014973,            0.008218,            0.008218,            0.008218
                  56,            0.025986,            0.011849,           0.0078885,             0.94279,             0.97906,              0.9707,             0.72781,            0.017537,           0.0049562,            0.001344,            0.008185,            0.008185,            0.008185
                  57,            0.027583,            0.012068,           0.0074038,              0.9444,             0.96974,             0.96942,             0.71851,             0.01801,           0.0051402,           0.0013317,            0.008152,            0.008152,            0.008152
                  58,            0.027296,            0.011899,           0.0084655,             0.94341,             0.96473,             0.96047,             0.67787,            0.018983,           0.0053919,           0.0010853,            0.008119,            0.008119,            0.008119
                  59,            0.028584,            0.011895,           0.0092418,             0.94782,             0.97987,              0.9677,             0.73667,            0.016975,            0.004861,           0.0015162,            0.008086,            0.008086,            0.008086
                  60,            0.026533,            0.012438,           0.0093676,             0.92091,             0.98169,             0.96509,             0.73975,            0.015441,           0.0049989,           0.0017088,            0.008053,            0.008053,            0.008053
                  61,            0.028035,            0.012679,           0.0083945,             0.91958,             0.93877,             0.95474,             0.67499,            0.018142,           0.0056361,           0.0016141,             0.00802,             0.00802,             0.00802
                  62,            0.027437,            0.012173,           0.0079136,             0.95295,             0.98194,               0.972,             0.73373,            0.016258,           0.0049208,           0.0011398,            0.007987,            0.007987,            0.007987
                  63,             0.02713,            0.012068,           0.0082026,             0.94817,             0.97397,             0.96616,             0.73637,            0.015798,            0.004863,           0.0013158,            0.007954,            0.007954,            0.007954
                  64,            0.027157,            0.011953,            0.008184,             0.94765,             0.97351,             0.96725,             0.73169,            0.015784,           0.0049163,          0.00094324,            0.007921,            0.007921,            0.007921
                  65,            0.026502,            0.011854,           0.0098563,             0.94631,             0.97626,             0.96371,             0.72183,            0.015653,           0.0050246,           0.0010041,            0.007888,            0.007888,            0.007888
                  66,            0.025959,            0.011451,           0.0077407,             0.94003,             0.97963,             0.96735,             0.73247,             0.01721,           0.0048538,          0.00093126,            0.007855,            0.007855,            0.007855
                  67,            0.026729,            0.012097,            0.011828,             0.96079,              0.9712,             0.96615,             0.73541,             0.01589,           0.0048934,           0.0012101,            0.007822,            0.007822,            0.007822
                  68,            0.026425,            0.011609,           0.0083478,             0.93021,             0.98336,             0.96486,             0.74776,            0.015266,           0.0048303,          0.00077425,            0.007789,            0.007789,            0.007789
                  69,            0.027589,            0.012004,            0.010344,             0.94248,             0.96639,             0.96276,             0.72359,            0.015681,           0.0049687,           0.0006957,            0.007756,            0.007756,            0.007756
                  70,            0.027941,            0.011947,           0.0078931,             0.95114,             0.97083,             0.96922,             0.73142,            0.016286,           0.0047644,          0.00075579,            0.007723,            0.007723,            0.007723
                  71,            0.027701,            0.010881,           0.0083673,             0.96455,             0.97792,              0.9695,             0.75544,            0.014633,           0.0045907,          0.00069278,             0.00769,             0.00769,             0.00769
                  72,            0.026534,            0.010914,           0.0088051,             0.96015,             0.97137,             0.97429,             0.74848,             0.01535,           0.0047616,          0.00073738,            0.007657,            0.007657,            0.007657
                  73,            0.025858,            0.011677,           0.0088844,             0.96238,             0.98501,             0.97466,             0.75097,            0.015563,           0.0047543,          0.00080703,            0.007624,            0.007624,            0.007624
                  74,            0.027951,             0.01154,           0.0084913,             0.93376,             0.96111,             0.96231,             0.72008,            0.016304,           0.0049125,           0.0020305,            0.007591,            0.007591,            0.007591
                  75,            0.025852,            0.011827,           0.0088206,             0.95267,             0.94785,             0.96141,             0.71709,            0.016077,           0.0054965,          0.00085265,            0.007558,            0.007558,            0.007558
                  76,             0.02584,            0.011718,           0.0072727,             0.95836,             0.98094,             0.97428,             0.75258,            0.015431,           0.0046608,          0.00052099,            0.007525,            0.007525,            0.007525
                  77,            0.026468,            0.011598,           0.0087976,              0.9622,             0.99005,             0.97018,             0.74641,            0.014773,           0.0046362,          0.00065278,            0.007492,            0.007492,            0.007492
                  78,            0.025029,             0.01115,           0.0087609,             0.92661,             0.95806,             0.96313,             0.74019,            0.014848,           0.0049478,           0.0033031,            0.007459,            0.007459,            0.007459
                  79,             0.02543,             0.01138,           0.0094254,             0.94466,             0.96165,             0.97248,             0.74659,            0.015149,           0.0047447,           0.0015107,            0.007426,            0.007426,            0.007426
                  80,            0.024718,            0.011724,           0.0086311,             0.96066,              0.9852,             0.97686,             0.76775,            0.014079,           0.0045568,           0.0008521,            0.007393,            0.007393,            0.007393
                  81,            0.025281,            0.011794,            0.008741,             0.95017,             0.98917,             0.97631,             0.75816,            0.014414,           0.0045262,           0.0009428,             0.00736,             0.00736,             0.00736
                  82,            0.024403,            0.011206,           0.0069312,             0.95166,             0.98488,             0.97291,             0.74353,            0.015133,           0.0046719,           0.0012804,            0.007327,            0.007327,            0.007327
                  83,            0.026167,            0.010769,           0.0058131,             0.94854,             0.98559,             0.97126,             0.75338,            0.016368,           0.0047798,           0.0012604,            0.007294,            0.007294,            0.007294
                  84,             0.02622,            0.011824,           0.0079594,             0.94292,             0.96534,             0.96777,             0.75014,            0.015161,           0.0047946,            0.000911,            0.007261,            0.007261,            0.007261
                  85,            0.024583,            0.011527,           0.0075971,             0.95338,             0.98317,              0.9689,              0.7497,            0.014754,           0.0047102,           0.0006532,            0.007228,            0.007228,            0.007228
                  86,            0.025137,            0.011428,           0.0078817,             0.95549,             0.99758,             0.97038,             0.75286,            0.015594,           0.0046642,          0.00059494,            0.007195,            0.007195,            0.007195
                  87,            0.024089,            0.011028,           0.0056876,             0.95803,             0.98884,              0.9749,             0.76848,            0.013777,           0.0046514,          0.00093752,            0.007162,            0.007162,            0.007162
                  88,            0.025242,             0.01079,           0.0087039,             0.95199,             0.98895,             0.97304,             0.76761,            0.013983,           0.0045683,          0.00059658,            0.007129,            0.007129,            0.007129
                  89,            0.025363,            0.011145,           0.0080091,             0.95433,             0.98577,             0.97871,             0.76731,             0.01424,           0.0046749,          0.00077011,            0.007096,            0.007096,            0.007096
                  90,            0.025884,            0.010953,           0.0091328,             0.95325,             0.97611,             0.97158,             0.75636,            0.014142,           0.0047322,           0.0012641,            0.007063,            0.007063,            0.007063
                  91,            0.023753,              0.0117,           0.0078104,             0.93592,             0.98085,             0.95468,             0.73303,            0.013931,           0.0046623,           0.0022367,             0.00703,             0.00703,             0.00703
                  92,            0.023338,            0.011092,           0.0069871,             0.95288,             0.98429,             0.97862,             0.77008,            0.014035,           0.0046458,          0.00052721,            0.006997,            0.006997,            0.006997
                  93,            0.023231,            0.011036,           0.0069216,             0.94873,             0.96936,             0.97461,             0.76877,            0.014679,           0.0045865,          0.00057007,            0.006964,            0.006964,            0.006964
                  94,             0.02494,            0.010654,           0.0066535,             0.96169,             0.99147,             0.97526,             0.78482,            0.014128,           0.0043334,          0.00041151,            0.006931,            0.006931,            0.006931
                  95,            0.024552,            0.010839,           0.0083731,             0.95741,             0.98237,             0.97073,             0.77256,             0.01439,           0.0044937,           0.0010492,            0.006898,            0.006898,            0.006898
                  96,             0.02498,            0.011229,           0.0071611,             0.95541,             0.99517,              0.9753,             0.78219,            0.013735,           0.0043772,          0.00056874,            0.006865,            0.006865,            0.006865
                  97,            0.023548,             0.01074,           0.0059033,             0.95734,             0.98626,             0.97798,             0.77473,            0.013777,           0.0043833,            0.000514,            0.006832,            0.006832,            0.006832
                  98,            0.024109,            0.011162,            0.005664,             0.95676,             0.99308,             0.98103,             0.77777,            0.014067,           0.0042722,          0.00058132,            0.006799,            0.006799,            0.006799
                  99,            0.024279,            0.011127,           0.0052324,             0.95044,             0.98149,             0.97825,             0.78023,            0.013667,           0.0043652,          0.00067173,            0.006766,            0.006766,            0.006766
                 100,            0.023845,            0.010967,           0.0071183,             0.96658,               0.989,             0.97646,             0.77404,            0.013554,           0.0044383,          0.00044249,            0.006733,            0.006733,            0.006733
                 101,            0.022477,            0.010894,           0.0073646,             0.96171,             0.98945,             0.97772,             0.77958,            0.013504,           0.0042622,          0.00050535,              0.0067,              0.0067,              0.0067
                 102,            0.023493,            0.011086,           0.0085608,             0.95832,              0.9775,             0.97007,             0.77031,            0.012888,           0.0043709,          0.00038824,            0.006667,            0.006667,            0.006667
                 103,            0.023648,            0.010575,           0.0070198,             0.96227,             0.99652,             0.97897,             0.78524,            0.013022,           0.0042926,          0.00040152,            0.006634,            0.006634,            0.006634
                 104,            0.024725,            0.010779,           0.0066455,             0.95479,                   1,             0.98201,             0.79349,            0.012931,           0.0043303,          0.00042125,            0.006601,            0.006601,            0.006601
                 105,            0.022673,            0.010732,           0.0057662,             0.96137,             0.97892,             0.97981,              0.7973,            0.013161,           0.0042158,          0.00036811,            0.006568,            0.006568,            0.006568
                 106,            0.022668,            0.010899,           0.0054102,             0.95963,             0.98777,             0.97896,             0.78562,             0.01319,           0.0043838,          0.00033971,            0.006535,            0.006535,            0.006535
                 107,            0.022983,            0.011043,            0.007552,             0.96186,             0.99469,              0.9826,             0.80178,            0.012205,           0.0042947,          0.00034035,            0.006502,            0.006502,            0.006502
                 108,             0.02345,            0.010776,            0.006629,             0.95498,              0.9891,             0.98117,             0.78316,            0.013851,           0.0043362,          0.00066965,            0.006469,            0.006469,            0.006469
                 109,            0.023202,            0.010346,           0.0062689,             0.95251,             0.98577,               0.981,             0.78017,            0.013682,           0.0043901,          0.00045271,            0.006436,            0.006436,            0.006436
                 110,            0.022056,             0.01096,            0.006207,             0.95735,             0.98473,             0.98078,             0.80903,             0.01254,           0.0042047,          0.00046962,            0.006403,            0.006403,            0.006403
                 111,             0.02289,            0.010728,           0.0056539,             0.96717,             0.99758,             0.98548,             0.81038,            0.012611,           0.0040408,          0.00042973,             0.00637,             0.00637,             0.00637
                 112,            0.022722,            0.010499,           0.0066746,             0.96473,             0.99226,             0.98553,             0.80779,             0.01269,           0.0041677,           0.0003898,            0.006337,            0.006337,            0.006337
                 113,            0.021647,             0.01059,           0.0050892,             0.95913,             0.99639,             0.98489,             0.80821,            0.012858,           0.0041875,          0.00041767,            0.006304,            0.006304,            0.006304
                 114,            0.021267,           0.0098276,           0.0066184,             0.96928,             0.99454,             0.98602,             0.80816,            0.012555,            0.004045,          0.00065367,            0.006271,            0.006271,            0.006271
                 115,            0.021448,           0.0099856,           0.0065421,             0.97159,             0.99239,             0.98573,             0.80155,            0.012134,           0.0039682,          0.00084829,            0.006238,            0.006238,            0.006238
                 116,            0.022189,            0.010395,           0.0050313,             0.96811,             0.99758,              0.9852,             0.80824,            0.012548,            0.003942,          0.00066891,            0.006205,            0.006205,            0.006205
                 117,            0.021518,            0.010102,           0.0061275,             0.96918,             0.99333,             0.98338,             0.81084,            0.011566,           0.0040127,          0.00041381,            0.006172,            0.006172,            0.006172
                 118,            0.022906,           0.0098928,           0.0066836,             0.96964,              0.9999,             0.98723,             0.81567,            0.011702,           0.0038832,           0.0003335,            0.006139,            0.006139,            0.006139
                 119,            0.020701,            0.010405,           0.0051294,             0.96699,             0.99758,             0.98496,             0.80937,            0.011803,           0.0039655,          0.00032178,            0.006106,            0.006106,            0.006106
                 120,             0.02326,            0.010524,           0.0081596,             0.96266,             0.98376,             0.98457,              0.7933,            0.012779,           0.0041306,          0.00045694,            0.006073,            0.006073,            0.006073
                 121,            0.020919,            0.010284,           0.0048902,             0.96071,             0.99517,             0.98585,             0.79686,            0.013177,            0.004069,          0.00042845,             0.00604,             0.00604,             0.00604
                 122,            0.022558,            0.010379,           0.0068991,             0.96636,             0.99477,             0.98546,             0.80678,            0.013213,           0.0038853,          0.00037439,            0.006007,            0.006007,            0.006007
                 123,            0.021484,            0.010514,           0.0072795,             0.95913,              0.9932,             0.98324,             0.80287,            0.013682,           0.0040735,          0.00055417,            0.005974,            0.005974,            0.005974
                 124,            0.022726,            0.010616,           0.0065167,             0.95978,             0.99226,             0.98591,             0.80717,            0.012863,           0.0040939,          0.00040761,            0.005941,            0.005941,            0.005941
                 125,            0.022066,            0.010716,            0.005407,             0.96235,             0.99765,             0.98854,             0.82161,            0.012665,           0.0038901,           0.0003189,            0.005908,            0.005908,            0.005908
                 126,            0.021167,            0.010206,           0.0056314,             0.97007,             0.99565,             0.98831,             0.82004,              0.0122,           0.0039723,          0.00030616,            0.005875,            0.005875,            0.005875
                 127,             0.02049,            0.010449,           0.0055837,             0.96266,             0.99543,             0.98746,             0.81973,            0.011587,           0.0039441,          0.00046874,            0.005842,            0.005842,            0.005842
                 128,            0.023198,            0.010149,           0.0063376,             0.97016,             0.99517,             0.98877,             0.82753,            0.011816,           0.0038082,          0.00030707,            0.005809,            0.005809,            0.005809
                 129,             0.02163,            0.010202,           0.0054705,             0.96851,             0.99422,             0.98651,             0.82525,            0.011737,           0.0038318,          0.00035549,            0.005776,            0.005776,            0.005776
                 130,            0.021751,            0.010085,           0.0058318,             0.97267,             0.99758,             0.98664,             0.82151,            0.011683,           0.0038823,          0.00029312,            0.005743,            0.005743,            0.005743
                 131,            0.022404,            0.010542,           0.0057865,              0.9715,             0.99919,             0.98601,             0.81703,            0.011766,           0.0039755,          0.00033611,             0.00571,             0.00571,             0.00571
                 132,            0.021015,            0.010268,           0.0056757,             0.97156,                   1,             0.98795,             0.83164,            0.010921,           0.0037506,           0.0003746,            0.005677,            0.005677,            0.005677
                 133,             0.02043,           0.0094041,           0.0060724,             0.97549,             0.99673,             0.98995,             0.82823,            0.011783,           0.0037777,          0.00052458,            0.005644,            0.005644,            0.005644
                 134,            0.019688,            0.010167,           0.0040213,             0.95993,             0.99938,              0.9897,             0.83955,             0.01101,           0.0038287,          0.00046513,            0.005611,            0.005611,            0.005611
                 135,            0.021348,            0.010185,           0.0059125,             0.97304,             0.99899,             0.99193,             0.82444,            0.011426,           0.0038773,           0.0003337,            0.005578,            0.005578,            0.005578
                 136,            0.020667,            0.010105,           0.0053539,             0.97554,             0.99742,             0.99194,             0.82766,            0.011674,           0.0038547,          0.00033995,            0.005545,            0.005545,            0.005545
                 137,            0.022446,            0.010139,           0.0055001,             0.95567,             0.99345,             0.98611,             0.81357,            0.011812,           0.0039824,          0.00070277,            0.005512,            0.005512,            0.005512
                 138,            0.021985,             0.01011,           0.0081373,              0.9742,             0.99866,              0.9896,             0.82914,            0.011348,           0.0037773,          0.00031817,            0.005479,            0.005479,            0.005479
                 139,             0.02161,           0.0098744,            0.004409,             0.97682,                   1,              0.9885,             0.83412,            0.010954,           0.0037709,           0.0002695,            0.005446,            0.005446,            0.005446
                 140,            0.020456,           0.0095218,           0.0064376,             0.97672,             0.99517,             0.98881,             0.82371,            0.011242,            0.003883,          0.00027254,            0.005413,            0.005413,            0.005413
                 141,            0.022022,            0.010061,           0.0051891,             0.97311,             0.99727,             0.99036,             0.81986,            0.012076,           0.0038771,          0.00029792,             0.00538,             0.00538,             0.00538
                 142,            0.021931,            0.010049,           0.0049982,             0.97583,             0.99758,             0.98909,             0.83558,            0.011578,           0.0036771,           0.0003174,            0.005347,            0.005347,            0.005347
                 143,            0.021397,            0.010055,           0.0053157,             0.97808,             0.99468,             0.98893,             0.83061,            0.011164,           0.0037642,          0.00032897,            0.005314,            0.005314,            0.005314
                 144,            0.020173,           0.0094482,           0.0045472,             0.97483,             0.99785,             0.98986,             0.83442,            0.011187,           0.0037019,          0.00029005,            0.005281,            0.005281,            0.005281
                 145,            0.019402,            0.010116,           0.0046944,             0.97744,             0.99758,             0.99095,             0.84112,            0.010746,           0.0036762,          0.00025753,            0.005248,            0.005248,            0.005248
                 146,            0.019913,           0.0096763,           0.0057107,             0.97326,             0.99862,             0.99082,             0.82944,            0.011625,           0.0037902,          0.00029738,            0.005215,            0.005215,            0.005215
                 147,            0.020157,           0.0095839,           0.0051018,             0.97372,             0.99661,             0.98968,             0.84104,            0.011329,           0.0036908,          0.00032167,            0.005182,            0.005182,            0.005182
                 148,            0.020913,           0.0098642,           0.0043139,             0.97975,             0.99509,             0.99113,             0.83443,            0.011095,           0.0036151,          0.00030851,            0.005149,            0.005149,            0.005149
